Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Fri Jan  5 00:36:28 2024
| Host         : binhkieudo-ASUS running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_high_fanout_nets -file /home/binhkieudo/Workspace/riscv_framework/fpga/generated-src/chipyard.fpga.arty100t.Arty100THarness.RocketArty100TConfig/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : Arty100THarness
| Device       : xc7a100t
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Fanout Summary
-----------------

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                                            |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                                                   | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| harnessSysPLLNode/inst/clk_out1                                                                                                                                                            |  11288 | BUFG        |             inf |           2.300 |     0 |  0 |              0 |     0 |  0 |              0 |     1 |  0 |              0 | 11209 | 20 |             58 |
| chiptop0/system/prci_ctrl_domain/resetSynchronizer/x1_member_allClocks_uncore_reset_catcher/io_sync_reset_chain/output_chain/sync_0_reg_1                                                  |   1520 | LUT1        |           3.436 |          11.297 |     0 |  0 |              0 |  1500 | 18 |              0 |     2 |  0 |              0 |     0 |  0 |              0 |
| mig/island/blackbox/u_arty100tmig_mig/u_memc_ui_top_axi/u_ui_top/ui_wr_data0/occupied_counter.app_wdf_rdy_r_reg_0                                                                          |    438 | FDRE        |           4.242 |           4.559 |   144 |  0 |              0 |     0 |  0 |              0 |   294 |  0 |              0 |     0 |  0 |              0 |
| mig/island/blackbox/u_arty100tmig_mig/u_memc_ui_top_axi/u_axi_mc/axi_mc_w_channel_0/wready_d3                                                                                              |    436 | FDRE        |           3.244 |           5.805 |   138 |  0 |              0 |     0 |  0 |              0 |   298 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/subsystem_cbus/coupler_to_debug/fragmenter/repeater/saved_address_reg[6]_0                                                                                                 |    358 | LUT3        |           5.623 |           2.632 |     0 |  0 |              0 |     0 |  0 |              0 |   358 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/subsystem_cbus/coupler_to_debug/fragmenter/repeater/full_reg_rep__4_2                                                                                                      |    349 | LUT5        |           3.539 |           2.753 |     0 |  0 |              0 |     0 |  0 |              0 |   349 |  0 |              0 |     0 |  0 |              0 |
| harnessBinderReset_catcher/io_sync_reset_chain/output_chain/AR[0]                                                                                                                          |    345 | LUT1        |          10.827 |           5.629 |     0 |  0 |              0 |   345 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| mig/deint/deq_id[0]                                                                                                                                                                        |    345 | FDRE        |           8.290 |           4.295 |     0 |  0 |              0 |     0 |  0 |              0 |   345 |  0 |              0 |     0 |  0 |              0 |
| mig/deint/deq_id[1]                                                                                                                                                                        |    345 | FDRE        |           8.019 |           3.494 |     0 |  0 |              0 |     0 |  0 |              0 |   345 |  0 |              0 |     0 |  0 |              0 |
