Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Mon Jan 29 02:19:10 2024
| Host         : binhkieudo-ASUS running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_datasheet -file /home/binhkieudo/Workspace/riscv_framework/fpga/generated-src/chipyard.fpga.arty100t.Arty100THarness.Rocket4CoresMTArty100TConfig/obj/report/datasheet.txt
| Design       : Arty100THarness
| Device       : 7a100t-csg324
| Speed File   : -1  PRODUCTION 1.23 2018-06-13
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Data Sheet Report

Input Ports Setup/Hold

----------+------------------+----------------+----------+---------------+---------+---------------+---------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
Reference | Input            | IO Reg         | Delay    |     Setup(ns) | Process |      Hold(ns) | Process | Internal                                                                                                                                                  |
Clock     | Port             | Type           | Type     | to Clk (Edge) | Corner  | to Clk (Edge) | Corner  | Clock                                                                                                                                                     |
----------+------------------+----------------+----------+---------------+---------+---------------+---------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+
JTCK      | jtag_jtag_TDI    | FDRE           | -        |     1.618 (r) | SLOW    |     1.419 (r) | SLOW    |                                                                                                                                                           |
JTCK      | jtag_jtag_TMS    | FDPE           | -        |     1.955 (r) | SLOW    |     0.552 (r) | SLOW    |                                                                                                                                                           |
sys_clock | gpio_gpio_0      | SRL16E         | -        |     5.151 (r) | SLOW    |    -1.771 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_1      | SRL16E         | -        |     5.133 (r) | SLOW    |    -1.775 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_2      | SRL16E         | -        |     8.087 (r) | SLOW    |    -3.182 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_3      | SRL16E         | -        |     8.261 (r) | SLOW    |    -3.335 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_4      | SRL16E         | -        |     4.747 (r) | SLOW    |    -1.621 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_5      | SRL16E         | -        |     4.531 (r) | SLOW    |    -1.546 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_6      | SRL16E         | -        |     4.459 (r) | SLOW    |    -1.497 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_7      | SRL16E         | -        |     5.189 (r) | SLOW    |    -1.849 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_8      | SRL16E         | -        |     4.894 (r) | SLOW    |    -1.711 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_9      | SRL16E         | -        |     4.733 (r) | SLOW    |    -1.597 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_10     | SRL16E         | -        |     4.569 (r) | SLOW    |    -1.518 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_11     | SRL16E         | -        |     4.836 (r) | SLOW    |    -1.633 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_12     | SRL16E         | -        |     5.112 (r) | SLOW    |    -1.788 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_13     | SRL16E         | -        |     5.238 (r) | SLOW    |    -1.854 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
sys_clock | gpio_gpio_14     | SRL16E         | -        |     5.238 (r) | SLOW    |    -1.804 (r) | FAST    | clk_out1_harnessSysPLLNode                                                                                                                                |
