Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Tue Dec 26 15:16:06 2023
| Host         : binhkieudo running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /home/binhkieudo/Workspace/Rocket/riscv_framework/fpga/generated-src/chipyard.fpga.arty100t.Arty100THarness.RocketArty100TConfig/obj/report/utilization.txt
| Design       : Arty100THarness
| Device       : xc7a100tcsg324-1
| Speed File   : -1
| Design State : Physopt postRoute
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                   Instance                                   |                                    Module                                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+------------------------------------------------------------------------------+------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| Arty100THarness                                                              |                                                                        (top) |      22152 |      19352 |    2580 |  220 | 14373 |      0 |     12 |         10 |
|   (Arty100THarness)                                                          |                                                                        (top) |          4 |          4 |       0 |    0 |    39 |      0 |      0 |          0 |
|   chiptop0                                                                   |                                                                      ChipTop |      13544 |      12419 |    1108 |   17 |  6096 |      0 |     12 |         10 |
|     (chiptop0)                                                               |                                                                      ChipTop |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|     debug_reset_syncd_debug_reset_sync                                       |                                      AsyncResetSynchronizerShiftReg_w1_d3_i0 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|       output_chain                                                           |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_378 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |          0 |
|     dmactiveAck_dmactiveAck                                                  |                                           ResetSynchronizerShiftReg_w1_d3_i0 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|       output_chain                                                           |                            AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_377 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |          0 |
|     gated_clock_debug_clock_gate                                             |                                                                 EICG_wrapper |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|     system                                                                   |                                                                   DigitalTop |      13541 |      12416 |    1108 |   17 |  6085 |      0 |     12 |         10 |
|       (system)                                                               |                                                                   DigitalTop |        197 |          5 |     192 |    0 |     6 |      0 |      0 |          0 |
|       clint                                                                  |                                                                        CLINT |         33 |         33 |       0 |    0 |   129 |      0 |      0 |          0 |
|       dtm                                                                    |                                                     DebugTransportModuleJTAG |        112 |        112 |       0 |    0 |   167 |      0 |      0 |          0 |
|         (dtm)                                                                |                                                     DebugTransportModuleJTAG |         16 |         16 |       0 |    0 |    46 |      0 |      0 |          0 |
|         dmiAccessChain                                                       |                                                         CaptureUpdateChain_1 |          8 |          8 |       0 |    0 |    41 |      0 |      0 |          0 |
|         dtmInfoChain                                                         |                                                           CaptureUpdateChain |          0 |          0 |       0 |    0 |    32 |      0 |      0 |          0 |
|         tapIO_bypassChain                                                    |                                                              JtagBypassChain |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|         tapIO_controllerInternal                                             |                                                            JtagTapController |         88 |         88 |       0 |    0 |    15 |      0 |      0 |          0 |
|           (tapIO_controllerInternal)                                         |                                                            JtagTapController |          3 |          3 |       0 |    0 |     6 |      0 |      0 |          0 |
|           irChain                                                            |                                                         CaptureUpdateChain_2 |          2 |          2 |       0 |    0 |     5 |      0 |      0 |          0 |
|           stateMachine                                                       |                                                             JtagStateMachine |         83 |         83 |       0 |    0 |     4 |      0 |      0 |          0 |
|         tapIO_idcodeChain                                                    |                                                                 CaptureChain |          0 |          0 |       0 |    0 |    32 |      0 |      0 |          0 |
|       gpioClockDomainWrapper                                                 |                                                            ClockSinkDomain_3 |        204 |        188 |       0 |   16 |   304 |      0 |      0 |          0 |
|         gpio_0                                                               |                                                                       TLGPIO |        204 |        188 |       0 |   16 |   304 |      0 |      0 |          0 |
|           (gpio_0)                                                           |                                                                       TLGPIO |         61 |         61 |       0 |    0 |   224 |      0 |      0 |          0 |
|           ieReg                                                              |                                                      AsyncResetRegVec_w16_i0 |         16 |         16 |       0 |    0 |    16 |      0 |      0 |          0 |
|           inSyncReg_inSyncReg                                                |                                                  SynchronizerShiftReg_w16_d3 |         48 |         32 |       0 |   16 |    16 |      0 |      0 |          0 |
|             output_chain                                                     |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_361 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_1                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_362 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_10                                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_363 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_11                                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_364 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_12                                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_365 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_13                                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_366 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_14                                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_367 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_15                                                  |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_368 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_2                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_369 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_3                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_370 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_4                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_371 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_5                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_372 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_6                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_373 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_7                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_374 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_8                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_375 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|             output_chain_9                                                   |                             NonSyncResetSynchronizerPrimitiveShiftReg_d3_376 |          3 |          2 |       0 |    1 |     1 |      0 |      0 |          0 |
|           intsource                                                          |                                                      IntSyncCrossingSource_8 |         63 |         63 |       0 |    0 |    16 |      0 |      0 |          0 |
|             reg_0                                                            |                                                  AsyncResetRegVec_w16_i0_360 |         63 |         63 |       0 |    0 |    16 |      0 |      0 |          0 |
|           oeReg                                                              |                                           AsyncResetRegVec_w16_i0__xdcDup__1 |         16 |         16 |       0 |    0 |    16 |      0 |      0 |          0 |
